name,sex,first,second
ANNA,F,1063756,896075
KATARZYNA,F,602474,417253
MAŁGORZATA,F,572067,332219
MARIA,F,566902,1463775
AGNIESZKA,F,544968,274995
EWA,F,469822,371367
BARBARA,F,467697,400538
MAGDALENA,F,434117,302057
ELŻBIETA,F,404679,310423
JOANNA,F,401861,199646
ALEKSANDRA,F,390147,116565
KRYSTYNA,F,383140,217465
MONIKA,F,376767,163961
ZOFIA,F,360466,263963
NATALIA,F,320219,79630
JULIA,F,314539,86782
TERESA,F,312053,350228
KAROLINA,F,295011,112417
MARTA,F,289122,134853
DANUTA,F,286032,128037
BEATA,F,278457,120029
DOROTA,F,266291,133287
ALICJA,F,254745,87113
JOLANTA,F,233614,116905
HANNA,F,231647,36833
ZUZANNA,F,231506,45768
IWONA,F,230870,83664
HALINA,F,226656,85378
PAULINA,F,224208,68958
GRAŻYNA,F,223100,94852
JADWIGA,F,218462,191318
JUSTYNA,F,216299,74767
WIKTORIA,F,209093,99403
JANINA,F,198471,156102
IRENA,F,196353,116390
BOŻENA,F,194754,79750
MAJA,F,188657,23981
RENATA,F,185837,58268
AGATA,F,184481,81435
SYLWIA,F,181946,73064
URSZULA,F,180127,100458
PATRYCJA,F,169495,62515
OLIWIA,F,166399,30431
EMILIA,F,165157,49295
IZABELA,F,159119,79878
HELENA,F,155762,153754
WERONIKA,F,151660,118627
ANETA,F,151255,32961
EWELINA,F,148020,36279
MARTYNA,F,143235,20485
KLAUDIA,F,139055,34836
GABRIELA,F,137274,43983
LENA,F,134384,12851
AMELIA,F,129834,18123
MARZENA,F,128745,41962
DOMINIKA,F,123333,48445
KINGA,F,121584,59574
EDYTA,F,113456,39194
KAMILA,F,111676,31311
MARIANNA,F,106305,75595
ALINA,F,104157,23742
WIESŁAWA,F,100971,39733
STANISŁAWA,F,100184,118635
TETIANA,F,95030,26
DARIA,F,89850,25101
NATALIIA,F,89800,18
WANDA,F,88112,55877
OLENA,F,85143,119
LAURA,F,82455,18758
IRYNA,F,82258,35
LIDIA,F,81723,34587
MARIOLA,F,81131,31466
NIKOLA,F,79041,10371
MILENA,F,78513,9349
LUCYNA,F,77658,36876
ANTONINA,F,73894,41396
WIOLETTA,F,72214,21246
OLHA,F,67648,25
MIROSŁAWA,F,67643,25898
OKSANA,F,65217,332
ANGELIKA,F,64883,20626
MARIIA,F,64291,446
SVITLANA,F,61749,9
OLGA,F,61483,16131
MICHALINA,F,60713,22953
ANASTASIIA,F,60583,54
YULIIA,F,59533,23
